2017-09-06T21:00:35.064Z uuid:Insight-1_0-231619K1200D9A,WeMo 4,1,2515,{"ONSince":"1504706176","OnFor":"25458","TodayONTime":"26565","TodayConsumed":"89197062"}
2017-09-06T21:00:35.448Z uuid:Insight-1_0-231619K1200D5B,WeMo 1,8,0,{"ONSince":"1504729749","OnFor":"129","TodayONTime":"1794","TodayConsumed":"20590413"}
2017-09-06T21:00:37.588Z uuid:Insight-1_0-231619K1200D9A,WeMo 4,1,2540,{"ONSince":"1504706176","OnFor":"25461","TodayONTime":"26568","TodayConsumed":"89197062"}
2017-09-06T21:00:37.879Z uuid:Insight-1_0-231619K1200D5B,WeMo 1,8,0,{"ONSince":"1504729749","OnFor":"129","TodayONTime":"1794","TodayConsumed":"20590413"}
2017-09-06T21:00:37.949Z uuid:Insight-1_0-231619K1200D9F,WeMo 3,8,4030,{"ONSince":"1504731533","OnFor":"34","TodayONTime":"4727","TodayConsumed":"23700834"}
2017-09-06T21:00:38.012Z uuid:Insight-1_0-231619K1200E30,WeMo 2,8,0,{"ONSince":"1504730696","OnFor":"14","TodayONTime":"301","TodayConsumed":"1443679"}
2017-09-06T21:00:39.078Z uuid:Insight-1_0-231619K1200D9A,WeMo 4,1,2550,{"ONSince":"1504706176","OnFor":"25462","TodayONTime":"26569","TodayConsumed":"89197062"}
2017-09-06T21:00:39.445Z uuid:Insight-1_0-231619K1200D9F,WeMo 3,8,4040,{"ONSince":"1504731533","OnFor":"34","TodayONTime":"4727","TodayConsumed":"23700834"}
2017-09-06T21:00:39.524Z uuid:Insight-1_0-231619K1200D5B,WeMo 1,8,0,{"ONSince":"1504729749","OnFor":"129","TodayONTime":"1794","TodayConsumed":"20590413"}
2017-09-06T21:00:39.541Z uuid:Insight-1_0-231619K1200E30,WeMo 2,8,0,{"ONSince":"1504730696","OnFor":"14","TodayONTime":"301","TodayConsumed":"1443679"}
2017-09-06T21:00:41.583Z uuid:Insight-1_0-231619K1200D9A,WeMo 4,1,2545,{"ONSince":"1504706176","OnFor":"25465","TodayONTime":"26572","TodayConsumed":"89197062"}
2017-09-06T21:00:42.009Z uuid:Insight-1_0-231619K1200D5B,WeMo 1,8,0,{"ONSince":"1504729749","OnFor":"129","TodayONTime":"1794","TodayConsumed":"20590413"}
2017-09-06T21:00:42.023Z uuid:Insight-1_0-231619K1200D9F,WeMo 3,8,4010,{"ONSince":"1504731533","OnFor":"34","TodayONTime":"4727","TodayConsumed":"23700834"}
2017-09-06T21:00:42.046Z uuid:Insight-1_0-231619K1200E30,WeMo 2,8,0,{"ONSince":"1504730696","OnFor":"14","TodayONTime":"301","TodayConsumed":"1443679"}
2017-09-06T21:00:43.123Z uuid:Insight-1_0-231619K1200D9A,WeMo 4,1,2565,{"ONSince":"1504706176","OnFor":"25466","TodayONTime":"26573","TodayConsumed":"89197062"}
2017-09-06T21:00:43.435Z uuid:Insight-1_0-231619K1200D5B,WeMo 1,8,0,{"ONSince":"1504729749","OnFor":"129","TodayONTime":"1794","TodayConsumed":"20590413"}
2017-09-06T21:00:43.454Z uuid:Insight-1_0-231619K1200D9F,WeMo 3,8,4000,{"ONSince":"1504731533","OnFor":"34","TodayONTime":"4727","TodayConsumed":"23700834"}
2017-09-06T21:00:43.568Z uuid:Insight-1_0-231619K1200E30,WeMo 2,8,0,{"ONSince":"1504730696","OnFor":"14","TodayONTime":"301","TodayConsumed":"1443679"}
