2017-09-06T19:02:14.327Z uuid:Insight-1_0-231619K1200D9A,WeMo 4,1,2735,{"ONSince":"1504706176","OnFor":"18357","TodayONTime":"19464","TodayConsumed":"73822386"}
2017-09-06T19:02:15.841Z uuid:Insight-1_0-231619K1200D9A,WeMo 4,1,2735,{"ONSince":"1504706176","OnFor":"18358","TodayONTime":"19465","TodayConsumed":"73822386"}
2017-09-06T19:02:15.850Z uuid:Insight-1_0-231619K1200D9F,WeMo 3,8,4030,{"ONSince":"1504724486","OnFor":"34","TodayONTime":"3483","TodayConsumed":"18341994"}
2017-09-06T19:02:16.365Z uuid:Insight-1_0-231619K1200E30,WeMo 2,8,0,{"ONSince":"1504655232","OnFor":"14","TodayONTime":"0","TodayConsumed":"0"}
2017-09-06T19:02:16.701Z uuid:Insight-1_0-231619K1200D5B,WeMo 1,8,0,{"ONSince":"1504724194","OnFor":"103","TodayONTime":"1560","TodayConsumed":"17938052"}
2017-09-06T19:02:17.889Z uuid:Insight-1_0-231619K1200E30,WeMo 2,8,0,{"ONSince":"1504655232","OnFor":"14","TodayONTime":"0","TodayConsumed":"0"}
2017-09-06T19:02:18.306Z uuid:Insight-1_0-231619K1200D5B,WeMo 1,8,0,{"ONSince":"1504724194","OnFor":"103","TodayONTime":"1560","TodayConsumed":"17938052"}
2017-09-06T19:02:18.319Z uuid:Insight-1_0-231619K1200D9F,WeMo 3,8,4005,{"ONSince":"1504724486","OnFor":"34","TodayONTime":"3483","TodayConsumed":"18341994"}
2017-09-06T19:02:18.324Z uuid:Insight-1_0-231619K1200D9A,WeMo 4,1,2760,{"ONSince":"1504706176","OnFor":"18361","TodayONTime":"19468","TodayConsumed":"73822386"}
2017-09-06T19:02:59.577Z uuid:Insight-1_0-231619K1200D5B,WeMo 1,8,0,{"ONSince":"1504724194","OnFor":"103","TodayONTime":"1560","TodayConsumed":"17938052"}
2017-09-06T19:02:59.982Z uuid:Insight-1_0-231619K1200D9F,WeMo 3,1,35270,{"ONSince":"1504724554","OnFor":"25","TodayONTime":"3508","TodayConsumed":"18351792"}
2017-09-06T19:03:00.592Z uuid:Insight-1_0-231619K1200E30,WeMo 2,8,0,{"ONSince":"1504655232","OnFor":"14","TodayONTime":"0","TodayConsumed":"0"}
2017-09-06T19:03:01.107Z uuid:Insight-1_0-231619K1200D9A,WeMo 4,1,2740,{"ONSince":"1504706176","OnFor":"18404","TodayONTime":"19511","TodayConsumed":"73825112"}
2017-09-06T19:03:02.025Z uuid:Insight-1_0-231619K1200D5B,WeMo 1,8,0,{"ONSince":"1504724194","OnFor":"103","TodayONTime":"1560","TodayConsumed":"17938052"}
2017-09-06T19:03:02.051Z uuid:Insight-1_0-231619K1200E30,WeMo 2,8,0,{"ONSince":"1504655232","OnFor":"14","TodayONTime":"0","TodayConsumed":"0"}
2017-09-06T19:03:02.400Z uuid:Insight-1_0-231619K1200D9F,WeMo 3,1,11505,{"ONSince":"1504724554","OnFor":"28","TodayONTime":"3511","TodayConsumed":"18351792"}
2017-09-06T19:03:02.533Z uuid:Insight-1_0-231619K1200D9A,WeMo 4,1,2755,{"ONSince":"1504706176","OnFor":"18405","TodayONTime":"19512","TodayConsumed":"73825112"}
2017-09-06T19:03:03.461Z uuid:Insight-1_0-231619K1200D5B,WeMo 1,8,0,{"ONSince":"1504724194","OnFor":"103","TodayONTime":"1560","TodayConsumed":"17938052"}
2017-09-06T19:03:03.972Z uuid:Insight-1_0-231619K1200D9F,WeMo 3,1,8685,{"ONSince":"1504724554","OnFor":"29","TodayONTime":"3512","TodayConsumed":"18351792"}
